,Blue = Needs to be updated on Origin,,,,Salmon = Needs review or is missing data,,,,,,Green = Core Data for Origin,,,,,Pink = Should be salmon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESET ID,Brand or Association,Series,"Origin
Link",Revision Date,[EC],Weight,,Th,Density  密度,Process,"A1-A3
",,Compared to Average,,RESET SCORE,A4,A5,B,C1,C2,C3,C4,D,,,A1-A3,,A4,A5,B,C1,C2,C3,C4,D,,Data Region,Source,Standard,Uncertainty,"Life
(RSL)",Expiry,Notes,,[CI],BB,SH,RC,SOL,R,B,SF,EOL,Basic Circularity,RESET SCORE,PF,EOL A,Adv Circularity,,Max SOL,Max EOL,Max Circularity,[HE],Source,RLC,RLF,Unknwn,Known,LT / SCD,VOC,RESET HEALTHSCORE,TOTAL RESET SCORE,Compared to Average,,,,Source Link,EPD file name,Company Link,Image
,,,,,,,,,,,1.25,Unit,,,,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,Unit,,1.25,Unit,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,YY/MO/DA,,kg/unit,,mm,kg/m3,,kgCO2e,/kg,Region,Global,,,,,kgCO2e,,,,,/kg,,kgCO2e,,,,,kgCO2e,,,,,,,,,%,years,,,,,,,,,,,,%,%,,%,%,%,,,,,,,%,%,%,%,,%,,,Region,Global,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARPET TILES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WellBAC Comfort Print (Absolute Color),Milliken,Passage,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,20%,20%,100%,,80%,80%,50%,50%,0%,0%,10%,,,,,,,,100%,,100%,,100%,76.00%,75.30%,55.60%,,7th,,,,,
WellBAC Comfort Print (Accent North East),Milliken,Boundaries,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,20%,20%,100%,,80%,80%,50%,50%,0%,0%,10%,,,,,,,,100%,,100%,,100%,76.00%,75.30%,55.60%,,7th,,,,,
WellBAC Comfort Print (Backbeat),Milliken,Remix 3.0,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,20%,20%,100%,,80%,80%,50%,50%,0%,0%,10%,,,,,,,,100%,,100%,,100%,76.00%,75.30%,55.60%,,7th,,,,,
WellBAC Comfort Print (Bedrock),Milliken,Live Stream,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,20%,20%,100%,,80%,80%,50%,50%,0%,0%,10%,,,,,,,,100%,,100%,,100%,76.00%,75.30%,55.60%,,7th,,,,,
WellBAC Comfort Print (Calm),Milliken,Divided Glass,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,20%,20%,100%,,80%,80%,50%,50%,0%,0%,10%,,,,,,,,100%,,100%,,100%,76.00%,75.30%,55.60%,,7th,,,,,
WellBAC Comfort Print (Construct),Milliken,Architecturally Sound 2.0,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,20%,20%,100%,,80%,80%,50%,50%,0%,0%,10%,,,,,,,,100%,,100%,,100%,76.00%,75.30%,55.60%,,7th,,,,,
WellBAC Comfort Print (Corner),Milliken,Pentomino 2.0,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,20%,20%,100%,,80%,80%,50%,50%,0%,0%,10%,,,,,,,,100%,,100%,,100%,76.00%,75.30%,55.60%,,7th,,,,,
WellBAC Comfort Print (Data Flow),Milliken,Dot Com 2.0,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,20%,20%,100%,,80%,80%,50%,50%,0%,0%,10%,,,,,,,,100%,,100%,,100%,76.00%,75.30%,55.60%,,7th,,,,,
WellBAC Comfort Print (Double Plus),Milliken,Play Angle,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,25%,25%,100%,,80%,80%,52.50%,52.50%,0%,0%,12.50%,,,,,,,,100%,,100%,,100%,76.00%,76.20%,57.30%,,6th,,,,,
WellBAC Comfort Print (Distortion),Milliken,Major Frequency One ,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,25%,25%,100%,,80%,80%,52.50%,52.50%,0%,0%,12.50%,,,,,,,,100%,,100%,,100%,76.00%,76.20%,57.30%,,6th,,,,,
WellBAC Comfort Print (Draftworks),Milliken,Wicker Contract 2.0,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,20%,20%,100%,,80%,80%,50%,50%,0%,0%,10%,,,,,,,,100%,,100%,,100%,76.00%,75.30%,55.60%,,7th,,,,,
WellBAC Comfort Print (Drawing in Ink),Milliken,Naturally Drawn,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,20%,20%,100%,,80%,80%,50%,50%,0%,0%,10%,,,,,,,,100%,,100%,,100%,76.00%,75.30%,55.60%,,7th,,,,,
WellBAC Comfort Print (Drift),Milliken,Air Born,https://origin.build/#/material/100361776,2/19/24,,2.927,kg/m2,,,A1-A3,5.432,/kg,152.40%,,100.00%,,,,,,,,,,,15.9,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,57.70%,57.70%,100%,,80%,80%,68.85%,68.85%,0%,0%,28.85%,,,,,,,,100%,,100%,,100%,76.00%,81.60%,68.60%,,2nd,,,,,
WellBAC Comfort Print (EC1),Milliken,City Proper 2.0 ,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,20%,20%,100%,,80%,80%,50%,50%,0%,0%,10%,,,,,,,,100%,,100%,,100%,76.00%,75.30%,55.60%,,7th,,,,,
WellBAC Comfort Print (Explorer),Milliken,Topography 2.0,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,20%,20%,100%,,80%,80%,50%,50%,0%,0%,10%,,,,,,,,100%,,100%,,100%,76.00%,75.30%,55.60%,,7th,,,,,
WellBAC Comfort Print (Forty-Five Degrees),Milliken,Compass,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,20%,20%,100%,,80%,80%,50%,50%,0%,0%,10%,,,,,,,,100%,,100%,,100%,76.00%,75.30%,55.60%,,7th,,,,,
WellBAC Comfort Print (Field),Milliken,Living Facades,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,20%,20%,100%,,80%,80%,50%,50%,0%,0%,10%,,,,,,,,100%,,100%,,100%,76.00%,75.30%,55.60%,,7th,,,,,
WellBAC Comfort Print (Impressions),Milliken,Brushed By Tradition,https://origin.build/#/material/100351409,1/8/24,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,60%,60%,100%,,80%,80%,70%,70%,0%,0%,30%,,,,,,,,100%,,100%,,100%,76.00%,82.00%,69.40%,,1st,,,,,
WellBAC Comfort Print (Isograd),Milliken,Nordic Stories ,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,31.20%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,25%,25%,100%,,80%,80%,52.50%,52.50%,0%,0%,12.50%,,,,,,,,100%,,100%,,100%,76.00%,76.20%,57.30%,,6th,,,,,
WellBAC Comfort Print (Landscape),Milliken,Coastline,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,31.20%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,25%,25%,100%,,80%,80%,52.50%,52.50%,0%,0%,12.50%,,,,,,,,100%,,100%,,100%,76.00%,76.20%,57.30%,,6th,,,,,
WellBAC Comfort Print (Navigator),Milliken,Topography 2.0,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,31.20%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,20%,20%,100%,,80%,80%,50%,50%,0%,0%,10%,,,,,,,,100%,,100%,,100%,76.00%,75.30%,55.60%,,7th,,,,,
WellBAC Comfort Print (Patina),Milliken,Patina,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,26.80%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,20%,20%,100%,,80%,80%,50%,50%,0%,0%,10%,,,,,,,,100%,,100%,,100%,76.00%,75.30%,55.60%,,7th,,,,,
WellBAC Comfort Plus Print (Dissident),Milliken,Dissident & Fringe ,https://origin.build/#/material/100351407,3/23/23,,3.118,kg/m2,,,A1-A3,4.747,/kg,134.90%,,100.00%,,,,,,,,,,,14.8,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,35%,35%,100%,,80%,80%,57.50%,57.50%,0%,0%,17.50%,,,,,,,,100%,,100%,,100%,76.00%,77.80%,60.80%,,4th,,Missing PID?,,,
WellBAC Comfort Plus Print (Effect),Milliken,Consequence 2.0,https://origin.build/#/material/100351407,3/23/23,,3.118,kg/m2,,,A1-A3,4.747,/kg,134.90%,,100.00%,,,,,,,,,,,14.8,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,35%,35%,100%,,80%,80%,57.50%,57.50%,0%,0%,17.50%,,,,,,,,100%,,100%,,100%,76.00%,77.80%,60.80%,,4th,,Missing PID?,,,
WellBAC Comfort Plus Print (Invisible Field),Milliken,Momentum 2.0 ,https://origin.build/#/material/100351407,3/23/23,,3.118,kg/m2,,,A1-A3,4.747,/kg,134.90%,,100.00%,,,,,,,,,,,14.8,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,25%,25%,100%,,80%,80%,52.50%,52.50%,0%,0%,12.50%,,,,,,,,100%,,100%,,100%,76.00%,76.20%,57.30%,,6th,,Missing PID?,,,
WellBAC Comfort Plus Print (Laid Bare),Milliken,Comfortable Concrete,https://origin.build/#/material/100351407,3/23/23,,3.118,kg/m2,,,A1-A3,4.747,/kg,134.90%,,100.00%,,,,,,,,,,,14.8,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,25%,25%,100%,,80%,80%,52.50%,52.50%,0%,0%,12.50%,,,,,,,,100%,,100%,,100%,76.00%,76.20%,57.30%,,6th,,Missing PID?,,,
WellBAC Comfort SDN Recycled Yarn (Metallic Joinery),Milliken,Fine Detail,https://origin.build/#/material/100351412,3/23/23,,2.744,kg/m2,,,A1-A3,3.375,/kg,47.00%,,100.00%,,,,,,,,,,,9.26,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,35%,35%,100%,,80%,80%,57.50%,57.50%,0%,0%,17.50%,,,,,,,,100%,,100%,,100%,76.00%,77.80%,60.80%,,4th,,,,,
WellBAC Comfort SDN Recycled Yarn (Alloy),Milliken,Heavy Meta,https://origin.build/#/material/100351412,3/23/23,,2.744,kg/m2,,,A1-A3,3.375,/kg,47.00%,,100.00%,,,,,,,,,,,9.26,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,30%,30%,100%,,80%,80%,55%,55%,0%,0%,15%,,,,,,,,100%,,100%,,100%,76.00%,77.00%,59.00%,,5th,,,,,
WellBAC Comfort SDN Recycled Yarn (Burned),Milliken,Surface Study,https://origin.build/#/material/100351412,3/23/23,,2.744,kg/m2,,,A1-A3,3.375,/kg,47.00%,,100.00%,,,,,,,,,,,9.26,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,30%,30%,100%,,80%,80%,55%,55%,0%,0%,15%,,,,,,,,100%,,100%,,100%,76.00%,77.00%,59.00%,,5th,,,,,
WellBAC Function SDN Recycled Yarn (Elements),Milliken,Cornerstone,https://origin.build/#/material/100351668,3/23/23,,2.927,kg/m2,,,A1-A3,3.177,/kg,47.60%,,100.00%,,,,,,,,,,,9.3,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,10%,10%,100%,,80%,80%,45%,45%,0%,0%,5%,,,,,,,,100%,,100%,,100%,76.00%,73.70%,52.20%,,8th,,Missing PID?,,,
WellBAC Function SDN (Aida),Milliken,Variations 2.0,https://origin.build/#/material/100351669,3/23/23,,2.927,kg/m2,,,A1-A3,5.432,/kg,152.40%,,100.00%,,,,,,,,,,,15.9,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,10%,10%,100%,,80%,80%,45%,45%,0%,0%,5%,,,,,,,,100%,,100%,,100%,76.00%,73.70%,52.20%,,8th,,Missing PID?,,,
WellBAC Function SDN (Classic Dark),Milliken,Design Designations ,https://origin.build/#/material/100351669,3/23/23,,2.927,kg/m2,,,A1-A3,5.432,/kg,152.40%,,100.00%,,,,,,,,,,,15.9,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,10%,10%,100%,,80%,80%,45%,45%,0%,0%,5%,,,,,,,,100%,,100%,,100%,76.00%,73.70%,52.20%,,8th,,Missing PID?,,,
WellBAC Function SDN (Concrete),Milliken,Building Blocks ,https://origin.build/#/material/100351669,3/23/23,,2.927,kg/m2,,,A1-A3,5.432,/kg,152.40%,,100.00%,,,,,,,,,,,15.9,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,10%,10%,100%,,80%,80%,45%,45%,0%,0%,5%,,,,,,,,100%,,100%,,100%,76.00%,73.70%,52.20%,,8th,,Missing PID?,,,
WellBAC Function SDN (Fades),Milliken,Hues,https://origin.build/#/material/100351669,3/23/23,,2.927,kg/m2,,,A1-A3,5.432,/kg,152.40%,,100.00%,,,,,,,,,,,15.9,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,10%,10%,100%,,80%,80%,45%,45%,0%,0%,5%,,,,,,,,100%,,100%,,100%,76.00%,73.70%,52.20%,,8th,,Missing PID?,,,
WellBAC Function SDN (Forest Rain),Milliken,Nature Supply ,https://origin.build/#/material/100351669,3/23/23,,2.927,kg/m2,,,A1-A3,5.432,/kg,152.40%,,100.00%,,,,,,,,,,,15.9,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,10%,10%,100%,,80%,80%,45%,45%,0%,0%,5%,,,,,,,,100%,,100%,,100%,76.00%,73.70%,52.20%,,8th,,Missing PID?,,,
WellBAC Function SDN (Formwork),Milliken,Formwork 2.0,https://origin.build/#/material/100351669,3/23/23,,2.927,kg/m2,,,A1-A3,5.432,/kg,152.40%,,100.00%,,,,,,,,,,,15.9,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,25%,25%,100%,,80%,80%,52.50%,52.50%,0%,0%,12.50%,,,,,,,,100%,,100%,,100%,76.00%,76.20%,57.30%,,6th,,,,,
WellBAC Function SDN (In Line),Milliken,Retrofit,https://origin.build/#/material/100351669,3/23/23,,2.927,kg/m2,,,A1-A3,5.432,/kg,152.40%,,100.00%,,,,,,,,,,,15.9,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,10%,10%,100%,,80%,80%,45%,45%,0%,0%,5%,,,,,,,,100%,,100%,,100%,76.00%,73.70%,52.20%,,8th,,Missing PID?,,,
WellBAC Function SDN (Point 3),Milliken,Common Thread 2.0 ,https://origin.build/#/material/100351669,3/23/23,,2.927,kg/m2,,,A1-A3,5.432,/kg,152.40%,,100.00%,,,,,,,,,,,15.9,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,10%,10%,100%,,80%,80%,45%,45%,0%,0%,5%,,,,,,,,100%,,100%,,100%,76.00%,73.70%,52.20%,,8th,,Missing PID?,,,
WellBAC Function Print (Breeze),Milliken,Ripple Effect,https://origin.build/#/material/100351638,3/23/23,,2.744,kg/m2,,,A1-A3,5.539,/kg,141.30%,,100.00%,,,,,,,,,,,15.2,/m2,,,,,,,,,,China,EPD,,,15,10/1/25,,,,,,10%,10%,100%,,80%,80%,45%,45%,0%,0%,5%,,,,,,,,100%,,100%,,100%,76.00%,73.70%,52.20%,,8th,,Missing PID?,,,
WellBAC Function Print (Cloth),Milliken,Textus 2.0,https://origin.build/#/material/100351638,3/23/23,,2.744,kg/m2,,,A1-A3,5.539,/kg,141.30%,,100.00%,,,,,,,,,,,15.2,/m2,,,,,,,,,,China,EPD,,,15,10/1/25,,,,,,10%,10%,100%,,80%,80%,45%,45%,0%,0%,5%,,,,,,,,100%,,100%,,100%,76.00%,73.70%,52.20%,,8th,,Missing PID?,,,
WellBAC Function Print (Laylines),Milliken,Laylines,https://origin.build/#/material/100351638,3/23/23,,2.744,kg/m2,,,A1-A3,5.539,/kg,141.30%,,100.00%,,,,,,,,,,,15.2,/m2,,,,,,,,,,China,EPD,,,15,10/1/25,,,,,,10%,10%,100%,,80%,80%,45%,45%,0%,0%,5%,,,,,,,,100%,,100%,,100%,76.00%,73.70%,52.20%,,8th,,Missing PID?,,,
WellBAC Function Print (Shadowbox),Milliken,Out Of The Shadows 2.0,https://origin.build/#/material/100351638,3/23/23,,2.744,kg/m2,,,A1-A3,5.539,/kg,141.30%,,100.00%,,,,,,,,,,,15.2,/m2,,,,,,,,,,China,EPD,,,15,10/1/25,,,,,,10%,10%,100%,,80%,80%,45%,45%,0%,0%,5%,,,,,,,,100%,,100%,,100%,76.00%,73.70%,52.20%,,8th,"
",Missing PID?,,,
WellBAC Function Print (Renovate),Milliken,Dissident & Fringe 2.0,https://origin.build/#/material/100357015?p=P&locale=zh_CN&f=eyJuIjoiYXBwLnJlc3VsdHMubWF0ZXJpYWxzIiwicCI6IntcInBcIjpcIlBcIixcImxvY2FsZVwiOlwiemhfQ05cIixcInFcIjpcIm1pbGxpa2VuIGFzaWFcIixcImxpc3RTdHlsZVwiOlwiZ3JpZFwiLFwibGlzdEZvcm1hdFwiOlwiZ3JpZFwiLFwicGFnZVwiOlwiMFwifSJ9&srid=null&webtrxid=ZqHGQwijnJg8r4NbzEDYdwAAAFM,7/25/24,,2.744,kg/m2,,,A1-A3,5.175,/kg,125.40%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,10/1/25,,,,,,20%,20%,100%,,80%,80%,50%,50%,0%,0%,10%,,,,,,,,100%,,100%,,100%,76.00%,75.30%,55.60%,,7th,,,,,
WellBAC Function Print (Reveal),Milliken,Revelation,https://origin.build/#/material/100362850?p=P&locale=zh_CN&f=eyJuIjoiYXBwLnJlc3VsdHMubWF0ZXJpYWxzIiwicCI6IntcInBcIjpcIlBcIixcImxvY2FsZVwiOlwiemhfQ05cIixcInFcIjpcIm1pbGxpa2VuIGFzaWFcIixcImxpc3RTdHlsZVwiOlwiZ3JpZFwiLFwibGlzdEZvcm1hdFwiOlwiZ3JpZFwiLFwicGFnZVwiOlwiMFwifSJ9&srid=null&webtrxid=ZqHFSAijnJg8r4NbzEDYNgAAAEE,7/25/24,,2.744,kg/m2,,,A1-A3,5.612,/kg,144.50%,,100.00%,,,,,,,,,,,15.4,/m2,,,,,,,,,,China,EPD,,,15,10/1/25,,,,,,50.40%,50.40%,100%,,80%,80%,65.20%,65.20%,0%,0%,25.20%,,,,,,,,100%,,100%,,100%,76.00%,80.40%,66.10%,,3rd,,,,,
GlassBac,Interface ,,https://origin.build/#/material/100270354,,,4.13,kg/m2,,,A1-A3,1.804,/kg,18.30%,,100.00%,,,,,,,,,,,7.45,/m2,,,,,,,,,,China,EPD,,,,2022.12.19,,,,,,0%,0%,100%,,80%,80%,40%,40%,0%,0%,0%,,,,,,,,,,,,,8%,49.30%,1.90%,,,,,,,
ReGenerate,Tuntex,,https://origin.build/#/material/100316330,,,0,kg/m2,,,A1-A3,,/kg,93.80%,,20.00%,,,,,,,,,,,12.21,/m2,,,,,,,,,,China,EPD,,,,,,,,,,0%,0%,100%,,80%,80%,40%,40%,0%,0%,0%,,,,,,,,,,,,,16%,25.30%,-47.70%,,,,,,,
CODIT with Unit Back,Anker,,https://origin.build/#/material/100351361,3/23/23,,4.3,kg/m2,,,A1-A3,3.977,/kg,171.40%,,50.00%,,,,,,,,,,,17.1,/m2,,,,,,,,,,China,EPD,,,15,2027.07.01,,,,,,0%,0%,100%,,80%,80%,40%,40%,0%,0%,0%,,,,,,,,,,,,,60%,50.00%,3.30%,,,,,,,
SUM with Unit Back,Anker,,https://origin.build/#/material/100351362,3/23/23,,3.2,kg/m2,,,A1-A3,3.5,/kg,77.80%,,50.00%,,,,,,,,,,,11.2,/m2,,,,,,,,,,China,EPD,,,15,2027.07.01,,,,,,0%,0%,100%,,80%,80%,40%,40%,0%,0%,0%,,,,,,,,,,,,,60%,50.00%,3.30%,,,,,,,
Gee,Gee,,https://origin.build/#/material/100351172,3/23/23,,4.204,kg/m2,,,A1-A3,2.574,/kg,71.80%,,20.00%,,,,,,,,,,,10.82,/m2,,,,,,,,,,China,1mi1,,,,,,,,,,0%,0%,100%,,80%,80%,40%,40%,0%,0%,0%,,,,,,,,,,,,,76.00%,45.30%,-6.40%,,,,,,,
Industry Baseline,,,,,,,,,,,,,-100.00%,,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,100%,,80%,80%,40%,40%,0%,0%,0%,,,,,,,,,,,,,16%,25.30%,-47.70%,,,,,,,
China Average,100,,,,,,,,,,2.347,/kg,,,,,,,,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.41%,,,,,,,,